,Outlet,Agent,League,Position,Age,Country,Join,Market Value,Outcome
627,The Sun,Wasserman,Premier League,Midfielder,20.0,England,730.0,30.0,False
628,Express,Unknown,LaLiga,Defender,22.0,Brazil,1246.0,25.0,True
633,Corriere S.,Relatives,Ligue 1,Attacker,28.0,Argentina,730.0,40.0,False
635,L'Equipe,Relatives,Ligue 1,Attacker,22.0,France,1461.0,160.0,False
639,Goal,CAA Stellar,LaLiga,Midfielder,26.0,Spain,3287.0,40.0,True
641,L'Equipe,CAA Stellar,Ligue 1,Defender,24.0,Croatia,1442.0,25.0,False
646,Bild,Sports360 GmbH,Bundesliga,Defender,25.0,Germany,1826.0,35.0,False
647,Metro,Relatives,LaLiga,Attacker,30.0,Belgium,1096.0,40.0,False
648,Express,Unknown,Premier League,Defender,28.0,England,2342.0,25.0,False
649,90 Min,Relatives,Premier League,Attacker,26.0,England,2544.0,90.0,False
651,Mundo D.,Relatives,LaLiga,Attacker,24.0,France,1771.0,50.0,False
652,Insider,Rafaela Pimenta,Serie A,Defender,21.0,Netherlands,1079.0,75.0,False
655,Mail,CAA Stellar,Premier League,Midfielder,25.0,England,2191.0,20.0,False
656,Mail,Wasserman,Premier League,Midfielder,27.0,England,1638.0,20.0,False
658,Manchester N.,Gestifute,Serie A,Attacker,36.0,Portugal,1452.0,45.0,True
659,Mundo D.,Relatives,Premier League,Midfielder,22.0,England,1096.0,75.0,False
670,Star,CAA Stellar,Premier League,Midfielder,25.0,England,2557.0,30.0,True
672,Corriere S.,Gol International,Premier League,Attacker,26.0,Serbia,1432.0,16.0,False
673,Guardian,Unknown,Premier League,Midfielder,17.0,England,365.0,1.0,False
675,The Sun,Unknown,Premier League,Defender,28.0,England,2342.0,25.0,False
678,Marca,Rafaela Pimenta,Premier League,Midfielder,28.0,France,2152.0,60.0,False
682,Express,Wasserman,Premier League,Defender,24.0,England,2557.0,30.0,False
683,Marca,Universal Twenty Two,LaLiga,Midfielder,35.0,Croatia,3595.0,10.0,False
686,Journalists,Relatives,Premier League,Attacker,26.0,England,2544.0,90.0,False
691,The Athletic,Rafaela Pimenta,Premier League,Midfielder,28.0,France,2152.0,60.0,False
697,Calcio M.,Gestifute,Ligue 1,Midfielder,23.0,Portugal,1043.0,30.0,False
699,Times ,Unknown,Premier League,Attacker,34.0,Uruguay,634.0,6.0,False
700,The Sun,Gol International,Liga Portugal,Defender,28.0,Brazil,2180.0,20.0,True
705,90 Min,Wasserman,Premier League,Defender,26.0,Netherlands,695.0,32.0,False
706,Mail,4ComM,Campeonato Brasileiro Série A,Attacker,24.0,Brazil,882.0,26.0,False
707,Insider,Wasserman,Scottish Premiership,Defender,28.0,England,1461.0,7.5,False
708,Evening Std,Elite Project Group ...,Premier League,Attacker,19.0,United States,0.0,4.0,True
711,Mundo D.,Gestifute,Ligue 1,Midfielder,23.0,Portugal,1043.0,30.0,False
712,The Athletic,Relatives,Ligue 1,Attacker,22.0,France,1461.0,160.0,False
713,Sky Sports,HCM Sports ...,LaLiga,Midfielder,24.0,Netherlands,1096.0,90.0,False
721,Liverpool E.,Wasserman,Championship,Defender,20.0,England,647.0,0.5,False
728,Corriere S.,ESN,Ligue 1,Midfielder,21.0,France,884.0,30.0,False
730,Marca,Relatives,Premier League,Attacker,23.0,England,2373.0,85.0,False
732,The Athletic,P&P Sport ...,Serie A,Midfielder,24.0,Brazil,668.0,40.0,False
736,The Sun,Wasserman,Serie A,Midfielder,22.0,United States,365.0,25.0,False
737,Marca,Unknown,Premier League,Attacker,34.0,Uruguay,634.0,6.0,False
739,The Athletic,ESN,LaLiga,Defender,22.0,France,1094.0,60.0,False
741,Insider,CAA Base Ltd,Premier League,Midfielder,25.0,England,2706.0,30.0,False
742,90 Min,Muy Manero,Ligue 1,Defender,21.0,Netherlands,700.0,28.0,True
745,Mundo D.,Unknown,Premier League,Attacker,24.0,Brazil,634.0,30.0,False
750,Manchester N.,CAA Stellar,Premier League,Defender,24.0,England,699.0,22.0,False
